CREATE,,
DEBUG,,
ADD,a,
ADD,e,
ADD,r,
ADD,o,
ADD,I,
ADD,o,
ADD,d,
ADD,u,
ADD,s,
ADD,a,
DEBUG,,
ADD,u,
DEBUG,,
SET,4,S
SET,12,M
DEBUG,,
GET,8,
GET,11,
INSERT,21,b
INSERT,4,i
INSERT,4,L
INSERT,4,w
INSERT,4,x
INSERT,4,T
INSERT,4,y
DEBUG,,
DELETE,6,
DEBUG,,
DELETE,10,
DEBUG,,
DELETE,11,
DEBUG,,
DELETE,7,
DEBUG,,
DELETE,13,
DEBUG,,
SWAP,1,3
SWAP,7,8
DEBUG,,
SWAP,0,13
DELETE,10,
DEBUG,,
ADD,u,
ADD,h,
DEBUG,,
INSERT,12,p
ADD,t
ADD,T,
ADD,g,
ADD,h,
ADD,t,
DEBUG,,
INSERT,25,y
SET,15,o
INSERT,27,G
DEBUG,,
SET,10,D
SWAP,16,13
DEBUG,,
INSERT,8,F
INSERT,7,o
INSERT,13,t
SET,14,e
SWAP,0,9
SWAP,3,13
DEBUG,,
